Time_Interval,Day_Name,Required_Agent,Scheduled_Agents,Actual_Post_Shrinkage
3:30:00 AM,Thu,7,7,5
3:30:00 AM,Fri,7,11,8
3:30:00 AM,Sat,5,10,7
3:30:00 AM,Sun,5,7,5
4:00:00 AM,Mon,7,11,8
4:00:00 AM,Tue,7,12,8
4:00:00 AM,Wed,7,7,5
4:00:00 AM,Thu,7,7,5
4:00:00 AM,Fri,8,11,8
4:00:00 AM,Sat,5,10,7
4:00:00 AM,Sun,4,7,5
4:30:00 AM,Mon,7,11,8
4:30:00 AM,Tue,8,12,8
4:30:00 AM,Wed,7,7,5
4:30:00 AM,Thu,8,7,5
4:30:00 AM,Fri,8,11,8
4:30:00 AM,Sat,5,10,7
4:30:00 AM,Sun,5,7,5
5:00:00 AM,Mon,8,11,8
5:00:00 AM,Tue,8,12,8
5:00:00 AM,Wed,7,7,5
5:00:00 AM,Thu,7,7,5
5:00:00 AM,Fri,8,11,8
5:00:00 AM,Sat,5,10,7
5:00:00 AM,Sun,5,7,5
5:30:00 AM,Mon,8,11,8
5:30:00 AM,Tue,7,12,8
5:30:00 AM,Wed,8,7,5
5:30:00 AM,Thu,8,7,5
5:30:00 AM,Fri,8,11,8
5:30:00 AM,Sat,5,10,7
5:30:00 AM,Sun,5,7,5
6:00:00 AM,Mon,7,33,23
6:00:00 AM,Tue,7,36,25
6:00:00 AM,Wed,8,29,20
6:00:00 AM,Thu,8,32,22
6:00:00 AM,Fri,8,34,24
6:00:00 AM,Sat,5,34,24
6:00:00 AM,Sun,5,31,22
6:30:00 AM,Mon,26,33,23
6:30:00 AM,Tue,24,36,25
6:30:00 AM,Wed,24,29,20
6:30:00 AM,Thu,25,32,22
6:30:00 AM,Fri,25,34,24
6:30:00 AM,Sat,22,34,24
6:30:00 AM,Sun,24,31,22
7:00:00 AM,Mon,23,22,15
7:00:00 AM,Tue,25,24,17
7:00:00 AM,Wed,24,22,15
7:00:00 AM,Thu,26,25,17
7:00:00 AM,Fri,25,23,16
7:00:00 AM,Sat,23,24,17
7:00:00 AM,Sun,23,24,17
7:30:00 AM,Mon,23,22,15
7:30:00 AM,Tue,24,24,17
7:30:00 AM,Wed,26,22,15
7:30:00 AM,Thu,24,25,17
7:30:00 AM,Fri,24,23,16
7:30:00 AM,Sat,26,24,17
7:30:00 AM,Sun,25,24,17
8:00:00 AM,Mon,25,22,15
8:00:00 AM,Tue,26,24,17
8:00:00 AM,Wed,23,22,15
8:00:00 AM,Thu,23,25,18
8:00:00 AM,Fri,23,23,16
8:00:00 AM,Sat,24,24,17
8:00:00 AM,Sun,23,24,17
8:30:00 AM,Mon,24,22,15
8:30:00 AM,Tue,25,24,17
8:30:00 AM,Wed,25,22,15
8:30:00 AM,Thu,24,25,18
8:30:00 AM,Fri,22,23,16
8:30:00 AM,Sat,22,24,17
8:30:00 AM,Sun,22,24,17
9:00:00 AM,Mon,24,22,15
9:00:00 AM,Tue,23,24,17
9:00:00 AM,Wed,23,22,15
9:00:00 AM,Thu,23,25,17
9:00:00 AM,Fri,24,23,16
9:00:00 AM,Sat,24,24,17
9:00:00 AM,Sun,27,24,17
9:30:00 AM,Mon,27,22,15
9:30:00 AM,Tue,24,24,17
9:30:00 AM,Wed,25,22,15
9:30:00 AM,Thu,23,25,18
9:30:00 AM,Fri,24,23,16
9:30:00 AM,Sat,24,24,17
9:30:00 AM,Sun,24,24,17
10:00:00 AM,Mon,23,22,15
10:00:00 AM,Tue,25,24,17
10:00:00 AM,Wed,25,22,15
10:00:00 AM,Thu,24,25,17
10:00:00 AM,Fri,22,23,16
10:00:00 AM,Sat,22,24,17
10:00:00 AM,Sun,25,24,17
10:30:00 AM,Mon,24,22,15
10:30:00 AM,Tue,25,24,17
10:30:00 AM,Wed,25,22,15
10:30:00 AM,Thu,24,25,18
10:30:00 AM,Fri,25,23,16
10:30:00 AM,Sat,22,24,17
10:30:00 AM,Sun,24,24,17
11:00:00 AM,Mon,24,22,15
11:00:00 AM,Tue,23,24,17
11:00:00 AM,Wed,24,22,15
11:00:00 AM,Thu,23,25,18
11:00:00 AM,Fri,25,23,16
11:00:00 AM,Sat,23,24,17
11:00:00 AM,Sun,23,24,17
11:30:00 AM,Mon,23,22,15
11:30:00 AM,Tue,23,24,17
11:30:00 AM,Wed,27,22,15
11:30:00 AM,Thu,24,25,17
11:30:00 AM,Fri,25,23,16
11:30:00 AM,Sat,25,24,17
11:30:00 AM,Sun,24,24,17
12:00:00 PM,Mon,22,22,15
12:00:00 PM,Tue,24,24,17
12:00:00 PM,Wed,25,22,15
12:00:00 PM,Thu,24,25,18
12:00:00 PM,Fri,21,23,16
12:00:00 PM,Sat,24,24,17
12:00:00 PM,Sun,25,24,17
12:30:00 PM,Mon,24,22,15
12:30:00 PM,Tue,23,24,17
12:30:00 PM,Wed,23,22,15
12:30:00 PM,Thu,23,25,17
12:30:00 PM,Fri,25,23,16
12:30:00 PM,Sat,22,24,17
12:30:00 PM,Sun,24,24,17
1:00:00 PM,Mon,25,22,15
1:00:00 PM,Tue,25,24,17
1:00:00 PM,Wed,24,22,15
1:00:00 PM,Thu,24,25,18
1:00:00 PM,Fri,23,23,16
1:00:00 PM,Sat,24,24,17
1:00:00 PM,Sun,23,24,17
1:30:00 PM,Mon,25,22,15
1:30:00 PM,Tue,22,24,17
1:30:00 PM,Wed,23,22,15
1:30:00 PM,Thu,23,25,17
1:30:00 PM,Fri,23,23,16
1:30:00 PM,Sat,25,24,17
1:30:00 PM,Sun,24,24,17
2:00:00 PM,Mon,24,45,31
2:00:00 PM,Tue,25,53,37
2:00:00 PM,Wed,24,55,39
2:00:00 PM,Thu,24,61,43
2:00:00 PM,Fri,25,52,36
2:00:00 PM,Sat,23,54,38
2:00:00 PM,Sun,25,49,34
2:30:00 PM,Mon,24,45,31
2:30:00 PM,Tue,26,53,37
2:30:00 PM,Wed,26,55,39
2:30:00 PM,Thu,22,61,43
2:30:00 PM,Fri,23,52,36
2:30:00 PM,Sat,25,54,38
2:30:00 PM,Sun,24,49,34
3:00:00 PM,Mon,24,23,16
3:00:00 PM,Tue,25,29,20
3:00:00 PM,Wed,25,33,23
3:00:00 PM,Thu,23,36,25
3:00:00 PM,Fri,23,29,20
3:00:00 PM,Sat,24,30,21
3:00:00 PM,Sun,25,25,18
3:30:00 PM,Mon,22,23,16
3:30:00 PM,Tue,25,29,20
3:30:00 PM,Wed,24,33,23
3:30:00 PM,Thu,23,36,25
3:30:00 PM,Fri,24,29,20
3:30:00 PM,Sat,22,30,21
3:30:00 PM,Sun,23,25,18
4:00:00 PM,Mon,24,23,16
4:00:00 PM,Tue,23,29,20
4:00:00 PM,Wed,24,33,23
4:00:00 PM,Thu,23,36,25
4:00:00 PM,Fri,23,29,20
4:00:00 PM,Sat,25,30,21
4:00:00 PM,Sun,23,25,17
4:30:00 PM,Mon,23,23,16
4:30:00 PM,Tue,23,29,20
4:30:00 PM,Wed,24,33,23
4:30:00 PM,Thu,24,36,25
4:30:00 PM,Fri,24,29,20
4:30:00 PM,Sat,27,30,21
4:30:00 PM,Sun,23,25,18
5:00:00 PM,Mon,22,23,16
5:00:00 PM,Tue,22,29,20
5:00:00 PM,Wed,25,33,23
5:00:00 PM,Thu,23,36,25
5:00:00 PM,Fri,24,29,20
5:00:00 PM,Sat,23,30,21
5:00:00 PM,Sun,24,25,18
5:30:00 PM,Mon,8,23,16
5:30:00 PM,Tue,7,29,20
5:30:00 PM,Wed,8,33,23
5:30:00 PM,Thu,7,36,25
5:30:00 PM,Fri,8,29,20
5:30:00 PM,Sat,5,30,21
5:30:00 PM,Sun,5,25,17
6:00:00 PM,Mon,7,23,16
6:00:00 PM,Tue,8,29,20
6:00:00 PM,Wed,7,33,23
6:00:00 PM,Thu,8,36,25
6:00:00 PM,Fri,7,29,20
6:00:00 PM,Sat,5,30,21
6:00:00 PM,Sun,5,25,17
6:30:00 PM,Mon,7,23,16
6:30:00 PM,Tue,7,29,20
6:30:00 PM,Wed,8,33,23
6:30:00 PM,Thu,8,36,25
6:30:00 PM,Fri,8,29,20
6:30:00 PM,Sat,5,30,21
6:30:00 PM,Sun,4,25,17
7:00:00 PM,Mon,7,23,16
7:00:00 PM,Tue,7,29,20
7:00:00 PM,Wed,8,33,23
7:00:00 PM,Thu,7,36,25
7:00:00 PM,Fri,7,29,20
7:00:00 PM,Sat,5,30,21
7:00:00 PM,Sun,5,25,18
7:30:00 PM,Mon,8,23,16
7:30:00 PM,Tue,8,29,20
7:30:00 PM,Wed,7,33,23
7:30:00 PM,Thu,7,36,25
7:30:00 PM,Fri,7,29,20
7:30:00 PM,Sat,5,30,21
7:30:00 PM,Sun,5,25,18
8:00:00 PM,Mon,7,23,16
8:00:00 PM,Tue,7,29,20
8:00:00 PM,Wed,7,33,23
8:00:00 PM,Thu,8,36,25
8:00:00 PM,Fri,7,29,20
8:00:00 PM,Sat,4,30,21
8:00:00 PM,Sun,5,25,17
8:30:00 PM,Mon,8,23,16
8:30:00 PM,Tue,7,29,20
8:30:00 PM,Wed,7,33,23
8:30:00 PM,Thu,7,36,25
8:30:00 PM,Fri,8,29,20
8:30:00 PM,Sat,5,30,21
8:30:00 PM,Sun,5,25,17
9:00:00 PM,Mon,8,23,16
9:00:00 PM,Tue,7,29,20
9:00:00 PM,Wed,7,33,23
9:00:00 PM,Thu,8,36,25
9:00:00 PM,Fri,8,29,20
9:00:00 PM,Sat,5,30,21
9:00:00 PM,Sun,4,25,17
9:30:00 PM,Mon,8,23,16
9:30:00 PM,Tue,8,29,20
9:30:00 PM,Wed,8,33,23
9:30:00 PM,Thu,7,36,25
9:30:00 PM,Fri,7,29,20
9:30:00 PM,Sat,5,30,21
9:30:00 PM,Sun,5,25,18
10:00:00 PM,Mon,8,35,24
10:00:00 PM,Tue,8,36,25
10:00:00 PM,Wed,8,40,28
10:00:00 PM,Thu,8,47,33
10:00:00 PM,Fri,8,39,27
10:00:00 PM,Sat,5,37,26
10:00:00 PM,Sun,5,36,25
10:30:00 PM,Mon,7,35,25
10:30:00 PM,Tue,7,36,25
10:30:00 PM,Wed,8,40,28
10:30:00 PM,Thu,7,47,33
10:30:00 PM,Fri,8,39,27
10:30:00 PM,Sat,4,37,26
10:30:00 PM,Sun,5,36,25
11:00:00 PM,Mon,7,12,8
11:00:00 PM,Tue,7,7,5
11:00:00 PM,Wed,7,7,5
11:00:00 PM,Thu,7,11,8
11:00:00 PM,Fri,7,10,7
11:00:00 PM,Sat,5,7,5
11:00:00 PM,Sun,5,11,8
11:30:00 PM,Mon,8,12,8
11:30:00 PM,Tue,7,7,5
11:30:00 PM,Wed,7,7,5
11:30:00 PM,Thu,8,11,8
11:30:00 PM,Fri,8,10,7
11:30:00 PM,Sat,5,7,5
11:30:00 PM,Sun,5,11,8
