Time_Interval,Day_Name,Offered_Calls,AHT
9:00:00 AM,Wed,48,356
9:00:00 AM,Thu,49,343
9:00:00 AM,Fri,52,358
9:00:00 AM,Sat,52,354
9:00:00 AM,Sun,58,360
9:30:00 AM,Mon,57,356
9:30:00 AM,Tue,52,355
9:30:00 AM,Wed,53,352
9:30:00 AM,Thu,49,357
9:30:00 AM,Fri,50,358
9:30:00 AM,Sat,52,357
9:30:00 AM,Sun,52,348
10:00:00 AM,Mon,51,347
10:00:00 AM,Tue,53,357
10:00:00 AM,Wed,54,356
10:00:00 AM,Thu,52,356
10:00:00 AM,Fri,47,351
10:00:00 AM,Sat,48,347
10:00:00 AM,Sun,53,354
10:30:00 AM,Mon,51,363
10:30:00 AM,Tue,53,362
10:30:00 AM,Wed,53,355
10:30:00 AM,Thu,52,346
10:30:00 AM,Fri,54,347
10:30:00 AM,Sat,46,353
10:30:00 AM,Sun,51,354
11:00:00 AM,Mon,49,364
11:00:00 AM,Tue,49,355
11:00:00 AM,Wed,53,346
11:00:00 AM,Thu,52,338
11:00:00 AM,Fri,54,346
11:00:00 AM,Sat,48,353
11:00:00 AM,Sun,50,346
11:30:00 AM,Mon,49,344
11:30:00 AM,Tue,51,346
11:30:00 AM,Wed,57,360
11:30:00 AM,Thu,52,358
11:30:00 AM,Fri,52,355
11:30:00 AM,Sat,52,353
11:30:00 AM,Sun,52,356
12:00:00 PM,Mon,47,342
12:00:00 PM,Tue,52,358
12:00:00 PM,Wed,52,354
12:00:00 PM,Thu,52,347
12:00:00 PM,Fri,47,341
12:00:00 PM,Sat,52,348
12:00:00 PM,Sun,54,358
12:30:00 PM,Mon,50,356
12:30:00 PM,Tue,47,368
12:30:00 PM,Wed,48,353
12:30:00 PM,Thu,51,342
12:30:00 PM,Fri,52,362
12:30:00 PM,Sat,47,348
12:30:00 PM,Sun,54,340
1:00:00 PM,Mon,54,354
1:00:00 PM,Tue,52,353
1:00:00 PM,Wed,52,351
1:00:00 PM,Thu,52,346
1:00:00 PM,Fri,50,345
1:00:00 PM,Sat,51,350
1:00:00 PM,Sun,50,339
1:30:00 PM,Mon,53,353
1:30:00 PM,Tue,49,338
1:30:00 PM,Wed,49,353
1:30:00 PM,Thu,49,347
1:30:00 PM,Fri,49,354
1:30:00 PM,Sat,54,350
1:30:00 PM,Sun,54,343
2:00:00 PM,Mon,51,354
2:00:00 PM,Tue,53,361
2:00:00 PM,Wed,51,346
2:00:00 PM,Thu,53,342
2:00:00 PM,Fri,54,358
2:00:00 PM,Sat,49,352
2:00:00 PM,Sun,54,357
2:30:00 PM,Mon,54,336
2:30:00 PM,Tue,56,352
2:30:00 PM,Wed,54,361
2:30:00 PM,Thu,49,336
2:30:00 PM,Fri,50,350
2:30:00 PM,Sat,53,351
2:30:00 PM,Sun,53,350
3:00:00 PM,Mon,52,351
3:00:00 PM,Tue,55,347
3:00:00 PM,Wed,55,341
3:00:00 PM,Thu,50,345
3:00:00 PM,Fri,49,349
3:00:00 PM,Sat,49,359
3:00:00 PM,Sun,55,342
3:30:00 PM,Mon,48,337
3:30:00 PM,Tue,54,348
3:30:00 PM,Wed,51,356
3:30:00 PM,Thu,51,338
3:30:00 PM,Fri,51,355
3:30:00 PM,Sat,46,351
3:30:00 PM,Sun,50,344
4:00:00 PM,Mon,50,356
4:00:00 PM,Tue,51,336
4:00:00 PM,Wed,50,358
4:00:00 PM,Thu,50,353
4:00:00 PM,Fri,50,350
4:00:00 PM,Sat,54,357
4:00:00 PM,Sun,50,352
4:30:00 PM,Mon,52,340
4:30:00 PM,Tue,49,352
4:30:00 PM,Wed,52,352
4:30:00 PM,Thu,50,356
4:30:00 PM,Fri,53,347
4:30:00 PM,Sat,58,354
4:30:00 PM,Sun,48,357
5:00:00 PM,Mon,48,343
5:00:00 PM,Tue,49,345
5:00:00 PM,Wed,56,340
5:00:00 PM,Thu,50,348
5:00:00 PM,Fri,51,351
5:00:00 PM,Sat,52,340
5:00:00 PM,Sun,53,342
5:30:00 PM,Mon,13,357
5:30:00 PM,Tue,13,340
5:30:00 PM,Wed,14,348
5:30:00 PM,Thu,12,351
5:30:00 PM,Fri,13,351
5:30:00 PM,Sat,8,356
5:30:00 PM,Sun,8,349
6:00:00 PM,Mon,12,362
6:00:00 PM,Tue,14,352
6:00:00 PM,Wed,13,337
6:00:00 PM,Thu,14,347
6:00:00 PM,Fri,13,352
6:00:00 PM,Sat,7,358
6:00:00 PM,Sun,8,339
6:30:00 PM,Mon,11,355
6:30:00 PM,Tue,12,349
6:30:00 PM,Wed,13,351
6:30:00 PM,Thu,14,355
6:30:00 PM,Fri,13,357
6:30:00 PM,Sat,8,350
6:30:00 PM,Sun,7,351
7:00:00 PM,Mon,13,339
7:00:00 PM,Tue,12,347
7:00:00 PM,Wed,14,355
7:00:00 PM,Thu,12,338
7:00:00 PM,Fri,13,339
7:00:00 PM,Sat,8,354
7:00:00 PM,Sun,7,363
7:30:00 PM,Mon,14,348
7:30:00 PM,Tue,14,350
7:30:00 PM,Wed,12,352
7:30:00 PM,Thu,12,346
7:30:00 PM,Fri,11,340
7:30:00 PM,Sat,7,347
7:30:00 PM,Sun,8,344
8:00:00 PM,Mon,12,359
8:00:00 PM,Tue,13,338
8:00:00 PM,Wed,13,346
8:00:00 PM,Thu,14,350
8:00:00 PM,Fri,13,354
8:00:00 PM,Sat,6,343
8:00:00 PM,Sun,8,348
8:30:00 PM,Mon,13,350
8:30:00 PM,Tue,12,352
8:30:00 PM,Wed,13,347
8:30:00 PM,Thu,12,341
8:30:00 PM,Fri,14,343
8:30:00 PM,Sat,8,342
8:30:00 PM,Sun,7,350
9:00:00 PM,Mon,14,346
9:00:00 PM,Tue,13,349
9:00:00 PM,Wed,12,358
9:00:00 PM,Thu,14,346
9:00:00 PM,Fri,13,341
9:00:00 PM,Sat,7,358
9:00:00 PM,Sun,6,352
9:30:00 PM,Mon,13,348
9:30:00 PM,Tue,13,349
9:30:00 PM,Wed,14,350
9:30:00 PM,Thu,12,351
9:30:00 PM,Fri,13,342
9:30:00 PM,Sat,8,347
9:30:00 PM,Sun,7,344
10:00:00 PM,Mon,13,359
10:00:00 PM,Tue,14,348
10:00:00 PM,Wed,13,351
10:00:00 PM,Thu,14,346
10:00:00 PM,Fri,14,352
10:00:00 PM,Sat,7,357
10:00:00 PM,Sun,8,360
10:30:00 PM,Mon,12,352
10:30:00 PM,Tue,12,349
10:30:00 PM,Wed,13,359
10:30:00 PM,Thu,13,353
10:30:00 PM,Fri,14,352
10:30:00 PM,Sat,7,346
10:30:00 PM,Sun,8,346
11:00:00 PM,Mon,12,349
11:00:00 PM,Tue,12,349
11:00:00 PM,Wed,12,351
11:00:00 PM,Thu,12,349
11:00:00 PM,Fri,13,342
11:00:00 PM,Sat,8,347
11:00:00 PM,Sun,8,348
11:30:00 PM,Mon,13,356
11:30:00 PM,Tue,12,341
11:30:00 PM,Wed,13,349
11:30:00 PM,Thu,13,359
11:30:00 PM,Fri,13,349
11:30:00 PM,Sat,7,345
11:30:00 PM,Sun,8,353
